indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
6,"Number of people referred for Hiv testing",number,hiv_prevention,true,1,"BOFWA | TEBELOPELE"
166,"Number of people referred for PEP.",number,events,true,1,"BOFWA | TEBELOPELE"
169,"Number of people referred for PEP. [DUPLICATE->166]",number,events,true,0,"BOFWA"
226,"Number of people referred for PEP. [DUPLICATE->166]",number,events,true,0,"BOFWA"
107,"Number of people referred for PEP. [DUPLICATE->166]",number,other,true,1,"TEBELOPELE"
7,"Number of people referred for PrEP [DUPLICATE->164]",number,hiv_prevention,true,0,"TEBELOPELE"
164,"Number of people referred for PrEP.",number,events,true,1,"BOFWA | TEBELOPELE"
167,"Number of people referred for PrEP. [DUPLICATE->164]",number,events,true,0,"BOFWA"
225,"Number of people referred for PrEP. [DUPLICATE->164]",number,events,true,0,"BOFWA"
105,"Number of people referred for PrEP. [DUPLICATE->164]",number,other,true,1,"TEBELOPELE"
312,"Number OF People Referred FOR Psychosocial Support ON GBV",multi_int,hiv_prevention,true,1,"TEBELOPELE"
176,"Number of people reffered for clinical services for GBV.",number,events,true,1,"BOFWA | TEBELOPELE"
179,"Number of people reffered for clinical services for GBV. [DUPLICATE->176]",number,events,true,0,"BOFWA"
231,"Number of people reffered for clinical services for GBV. [DUPLICATE->176]",number,events,true,0,"BOFWA"
116,"Number of people reffered for clinical services for GBV. [DUPLICATE->176]",number,other,true,1,"TEBELOPELE"
178,"Number of people reffered for justice services for GBV.",number,events,true,1,"BOFWA | TEBELOPELE"
181,"Number of people reffered for justice services for GBV. [DUPLICATE->178]",number,events,true,0,"BOFWA"
232,"Number of people reffered for justice services for GBV. [DUPLICATE->178]",number,events,true,0,"BOFWA"
118,"Number of people reffered for justice services for GBV. [DUPLICATE->178]",number,other,true,1,"TEBELOPELE"
37,"Number of people screened for breast cancer",number,ncd,true,0,"TEBELOPELE"
38,"Number of people screened for mental health",number,ncd,true,0,"TEBELOPELE"
35,"Number of people screened for NCDs behavioural risk factors (Alcohol use)",number,ncd,true,0,"TEBELOPELE"
34,"Number of people screened for NCDs behavioural risk factors (Tobacco use)",number,ncd,true,0,"TEBELOPELE"
36,"Number of people screened for NCDs risk factors",number,ncd,true,0,"TEBELOPELE"
186,"Number of people screened for STIs",number,events,true,5,"BOFWA | TEBELOPELE"
189,"Number of people screened for STIs [DUPLICATE->186]",number,events,true,0,"BOFWA"
236,"Number of people screened for STIs [DUPLICATE->186]",number,events,true,0,"BOFWA"
