indicator_code,indicator_name,sex,age_band,value
38b,Number of people who report that their rights were violated and who sought redress.,Female,60-64,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,65+,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,10-14,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,15-19,1
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,20-24,1
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,25-29,5
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,30-34,8
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,35-39,9
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,40-44,5
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,45-49,10
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,50-54,6
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,55-59,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,60-64,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Male,65+,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,10-14,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,15-19,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,20-24,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,25-29,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,30-34,2
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,35-39,1
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,40-44,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,45-49,3
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,50-54,0
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,55-59,3
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,60-64,4
39,"Number of community leaders sensitised on human rights, stigma and descrimination.",Female,65+,0
