indicator_code,indicator_name,sex,age_band,value
5g,Number of People Reached with ARV Based Prevention Messages,Female,40-44,54
5g,Number of People Reached with ARV Based Prevention Messages,Female,45-49,37
5g,Number of People Reached with ARV Based Prevention Messages,Female,50-54,37
5g,Number of People Reached with ARV Based Prevention Messages,Female,55-59,29
5g,Number of People Reached with ARV Based Prevention Messages,Female,60-64,16
5g,Number of People Reached with ARV Based Prevention Messages,Female,65+,26
5h,Number of People Reached with EMTCT Messages,Male,10-14,3
5h,Number of People Reached with EMTCT Messages,Male,15-19,19
5h,Number of People Reached with EMTCT Messages,Male,20-24,39
5h,Number of People Reached with EMTCT Messages,Male,25-29,68
5h,Number of People Reached with EMTCT Messages,Male,30-34,57
5h,Number of People Reached with EMTCT Messages,Male,35-39,59
5h,Number of People Reached with EMTCT Messages,Male,40-44,63
5h,Number of People Reached with EMTCT Messages,Male,45-49,45
5h,Number of People Reached with EMTCT Messages,Male,50-54,22
5h,Number of People Reached with EMTCT Messages,Male,55-59,15
5h,Number of People Reached with EMTCT Messages,Male,60-64,9
5h,Number of People Reached with EMTCT Messages,Male,65+,16
5h,Number of People Reached with EMTCT Messages,Female,10-14,0
5h,Number of People Reached with EMTCT Messages,Female,15-19,3
5h,Number of People Reached with EMTCT Messages,Female,20-24,27
5h,Number of People Reached with EMTCT Messages,Female,25-29,48
5h,Number of People Reached with EMTCT Messages,Female,30-34,40
5h,Number of People Reached with EMTCT Messages,Female,35-39,56
5h,Number of People Reached with EMTCT Messages,Female,40-44,26
5h,Number of People Reached with EMTCT Messages,Female,45-49,15
5h,Number of People Reached with EMTCT Messages,Female,50-54,13
5h,Number of People Reached with EMTCT Messages,Female,55-59,7
5h,Number of People Reached with EMTCT Messages,Female,60-64,0
5h,Number of People Reached with EMTCT Messages,Female,65+,7
5i,Total Number of People Reached with HIV Messages,Male,10-14,3
5i,Total Number of People Reached with HIV Messages,Male,15-19,163
5i,Total Number of People Reached with HIV Messages,Male,20-24,623
5i,Total Number of People Reached with HIV Messages,Male,25-29,641
5i,Total Number of People Reached with HIV Messages,Male,30-34,735
5i,Total Number of People Reached with HIV Messages,Male,35-39,735
5i,Total Number of People Reached with HIV Messages,Male,40-44,719
5i,Total Number of People Reached with HIV Messages,Male,45-49,736
5i,Total Number of People Reached with HIV Messages,Male,50-54,631
5i,Total Number of People Reached with HIV Messages,Male,55-59,233
5i,Total Number of People Reached with HIV Messages,Male,60-64,207
5i,Total Number of People Reached with HIV Messages,Male,65+,66
5i,Total Number of People Reached with HIV Messages,Female,10-14,3
5i,Total Number of People Reached with HIV Messages,Female,15-19,15
5i,Total Number of People Reached with HIV Messages,Female,20-24,162
5i,Total Number of People Reached with HIV Messages,Female,25-29,194
5i,Total Number of People Reached with HIV Messages,Female,30-34,161
5i,Total Number of People Reached with HIV Messages,Female,35-39,430
5i,Total Number of People Reached with HIV Messages,Female,40-44,269
5i,Total Number of People Reached with HIV Messages,Female,45-49,335
5i,Total Number of People Reached with HIV Messages,Female,50-54,363
5i,Total Number of People Reached with HIV Messages,Female,55-59,143
5i,Total Number of People Reached with HIV Messages,Female,60-64,156
5i,Total Number of People Reached with HIV Messages,Female,65+,39
6,Number of people reached with stigma reduction messages.,Male,10-14,360
6,Number of people reached with stigma reduction messages.,Male,15-19,381
6,Number of people reached with stigma reduction messages.,Male,20-24,615
6,Number of people reached with stigma reduction messages.,Male,25-29,756
6,Number of people reached with stigma reduction messages.,Male,30-34,831
6,Number of people reached with stigma reduction messages.,Male,35-39,855
6,Number of people reached with stigma reduction messages.,Male,40-44,845
6,Number of people reached with stigma reduction messages.,Male,45-49,402
6,Number of people reached with stigma reduction messages.,Male,50-54,487
6,Number of people reached with stigma reduction messages.,Male,55-59,541
6,Number of people reached with stigma reduction messages.,Male,60-64,100
